<<<<<<< HEAD
"#ZPL Classification: Single ZPL
Peak 1: location = 622.3, prominence = 1.0"

Peak Location,Peak Intensity,Peak Prominence
619.4671486652222,0.24017068143445014,0.18255184032862057
622.2651575423462,1.0,1.00221528933372
633.8065899305377,0.1723460992147509,0.10395292403573697
634.855780407803,0.22870989394386065,0.19989225056828838
650.9426357271755,0.16289990327524168,0.12627758300178105
652.8659643784006,0.21492113399424526,0.18453658607894396
680.8387964790663,0.2773287033765956,0.25697234451556006
765.4112890047277,0.1338599391389304,0.1362859763718714
=======
"# ZPL Classification: Single ZPL
Peak 1: location = 622.3, prominence = 1.0"
"# Bad frames (drop_fraction=0.6): [0, 1, 2, 9, 10, 11, 12]"

Peak Location,Peak Intensity,Peak Prominence
619.4671486652222,0.18365904007708483,0.15590148713710952
622.2651575423462,1.0,1.0013997147606575
634.855780407803,0.21469237862172608,0.18896723576276003
652.8659643784006,0.21886663624964503,0.19997351804761007
680.8387964790663,0.2622038727462423,0.24856375290743124
765.4112890047277,0.14107223191809098,0.14278462515274978
>>>>>>> liv_dev
