Emitter,ZPL_wavelength_nm,ZPL_intensity_counts,SB_wavelength_nm,SB_intensity_counts,Relative_intensity_ZPL_over_SB
Emitter 4,626.1123673,10489,664.2306017,6550,1.601374046
Emitter 5,625.9374955,8404,685.5586221,4492,1.870881567
Emitter 6,622.6149064,106014,681.0136081,83389,1.271318759
Emitter 7,629.784644,204513,689.7538635,24979,
Emitter 9,620.5164056,36307,,,
Emitter 10,622.6149064,34723,681.0136081,21714,1.599106567
Emitter 11,622.2651575,66398,680.8387965,18968,3.500527204
Emitter 13,620.6912814,12132,690.10346,9130,1.328806134
Emitter 15,626.6369819,21117,685.9082313,7238,2.917518652
Emitter 16,629.434906,31049,,,
Emitter 17,629.784644,191880,,,
Emitter 18,626.8118532,25406,686.2578395,10695,2.375502571
Emitter 19,640.9759468,26817,,,
Emitter 20,622.6149064,32439,,,
Emitter 23,630.8338546,16612,690.8026498,10611,1.565545189
Emitter 24,627.3364662,21837,683.4609448,16525,1.321452345
Emitter 25,632.2327942,27055,692.7253992,18631,1.452149643
Emitter 26,629.9595128,43289,689.9286619,16208,2.67084156
Emitter 28,622.6149064,45323,,,
Emitter 29,632.0579272,54086,,,
Emitter 30,625.7626236,19124,684.8594005,12835,1.489988313
Emitter 31,626.8118532,12673,676.8180601,7841,1.616247928
Emitter 32,624.8882619,16313,683.8105603,10684,1.526862598
Emitter 33,625.4128793,37321,684.6845944,16693,2.23572755
Emitter 34,626.1123673,38511,672.9720187,15341,2.510331791
Emitter 35,621.2159079,34531,679.4402943,11413,3.025584859
Emitter 36,621.2159079,27557,679.6151079,8484,3.248114097
Emitter 37,627.3364662,18889,686.9570528,10469,1.804279301
Emitter 38,639.0524869,16986,701.2899616,11226,1.513094602
