Emitter,ZPL_wavelength_nm,ZPL_intensity_counts,SB_wavelength_nm,SB_intensity_counts,Relative_intensity_ZPL_over_SB
Emitter 1,622.0902829,42348,680.8387965,40807,1.037763129
Emitter 3,637.1290076,6977,684.5097881,7180,0.971727019
Emitter 4,622.9646548,11043,682.2372827,9074,1.216993608
Emitter 5,621.5656583,19191,686.9570528,14567,1.317429807
Emitter 6,624.7133892,1967,683.8105603,2499,0.787114846
Emitter 7,620.5164056,2158,678.7410372,2880,0.749305556
Emitter 8,633.2819927,4038,691.5018352,5236,0.771199389
Emitter 9,626.6369819472578,6181.0,686.432643256238,4566.0,1.353701270258432
Emitter 12,623.3144027,5309,682.0624728,4788,1.108813701
Emitter 13,619.6420251,5646,678.2165918,6398,0.88246327
Emitter 14,635.7301016,3801,694.822906,3414,1.113356766
Emitter 15,628.0359483,10947,687.8310635,5602,1.954123527
Emitter 16,626.9867244,8849,686.4326433,6045,1.463854425
Emitter 17,631.5333256,12440,690.8026498,7739,1.607442822
Emitter 18,623.6641501,18907,682.9365197,8892,2.126293297
Emitter 19,622.6149064,14711,681.5380416,10596,1.388354096
Emitter 20,628.0359483,17458,683.2861367,11377,1.534499429
Emitter 21,626.1123673,17551,685.3838171,13040,1.345935583
Emitter 23,624.013897,5907,682.7617108,7252,0.814533922
Emitter 24,616.494231,5441,673.8461291,4198,1.296093378
Emitter 25,621.7405333,18881,680.31436,15091,1.251143065
Emitter 26,625.0631345,8010,684.3349815,9668,0.828506413
